"domain","period","N_total","f_star","kmin","n_kept","p_dLN","p_Zipf","p_Geom","adequate_dLN","adequate_Zipf","adequate_Geom","winner_by_p"
"LW","1940",411,0.8,8,339,0.1095,0.4378,0.005,TRUE,TRUE,FALSE,"Zipf"
"LW","1941",290,0.8,9,240,0.5224,0.01,0.0199,TRUE,FALSE,FALSE,"dLN"
"LW","1942",447,0.8,8,379,0.7711,0.01,0.005,TRUE,FALSE,FALSE,"dLN"
"BIO","1996–2000",228,0.8,12,187,0.4328,0.005,0.5025,TRUE,FALSE,TRUE,"Geom"
"BIO","2001–2005",122,0.8,7,101,0.4627,0.0846,0.2488,TRUE,TRUE,TRUE,"dLN"
"BIO","2006–2010",174,0.8,4,146,0.7463,0.0249,0.3383,TRUE,FALSE,TRUE,"dLN"
"CS","1996–2000",690,0.8,6,562,0.3532,0.005,0.005,TRUE,FALSE,FALSE,"dLN"
"CS","2001–2005",333,0.8,5,267,0.7114,0.005,0.0249,TRUE,FALSE,FALSE,"dLN"
"CS","2006–2010",300,0.8,3,272,0.6667,0.005,0.005,TRUE,FALSE,FALSE,"dLN"
"USOT_S","1896–1912",10,NA,NA,0,NA,NA,NA,FALSE,FALSE,FALSE,"None"
"USOT_S","1920–1936",47,0.8,2,47,0.7015,0.5721,0.6915,TRUE,TRUE,TRUE,"dLN"
"USOT_S","1948–1976",184,0.45,4,90,0.1343,0.005,0.0199,TRUE,FALSE,FALSE,"dLN"
"USOT_S","1980–2016",205,0.8,3,181,0.0547,0.0647,0.005,TRUE,TRUE,FALSE,"Zipf"
"FRAOT_F","1896–1912",23,NA,NA,0,NA,NA,NA,FALSE,FALSE,FALSE,"None"
"FRAOT_F","1920–1936",33,NA,NA,0,NA,NA,NA,FALSE,FALSE,FALSE,"None"
"FRAOT_F","1948–1976",31,NA,NA,0,NA,NA,NA,FALSE,FALSE,FALSE,"None"
"FRAOT_F","1980–2016",50,0.8,3,42,0.6517,0.7264,0.3085,TRUE,TRUE,TRUE,"Zipf"
